record_id,production_date,plant,production_line,machine_id,shift,product_code,produced_quantity,good_quantity,scrap_quantity,downtime_minutes,planned_minutes,cycle_time_seconds
PR-2026-000001,2026-01-01,Plant-01,Line-A,MC-101,Day,PRD-A100,5260,5168,92,0,480,4.86
PR-2026-000002,2026-01-01,Plant-01,Line-A,MC-101,Evening,PRD-A100,5196,5196,0,6,480,4.88
PR-2026-000003,2026-01-01,Plant-01,Line-A,MC-101,Night,PRD-A100,0,0,0,480,480,4.98
PR-2026-000004,2026-01-01,Plant-01,Line-A,MC-102,Day,PRD-B200,3237,3217,20,60,480,6.57
PR-2026-000005,2026-01-01,Plant-01,Line-A,MC-102,Evening,PRD-B200,4100,4016,84,42,480,6.19
PR-2026-000006,2026-01-01,Plant-01,Line-A,MC-102,Night,PRD-B200,3670,3576,94,47,480,6.09
PR-2026-000007,2026-01-01,Plant-01,Line-B,MC-201,Day,PRD-C300,6972,6710,262,10,480,3.41
PR-2026-000008,2026-01-01,Plant-01,Line-B,MC-201,Evening,PRD-C300,7442,7325,117,4,480,3.52
PR-2026-000009,2026-01-01,Plant-01,Line-B,MC-201,Night,PRD-C300,6234,6192,42,62,480,3.62
PR-2026-000010,2026-01-01,Plant-01,Line-B,MC-202,Day,PRD-D400,3007,2989,18,42,480,7.91
PR-2026-000011,2026-01-01,Plant-01,Line-B,MC-202,Evening,PRD-D400,2989,2933,56,9,480,8.22
PR-2026-000012,2026-01-01,Plant-01,Line-B,MC-202,Night,PRD-D400,3268,3246,22,8,480,8.18
PR-2026-000013,2026-01-02,Plant-01,Line-A,MC-101,Day,PRD-A100,4792,4648,144,9,480,4.97
PR-2026-000014,2026-01-02,Plant-01,Line-A,MC-101,Evening,PRD-A100,4593,4570,23,50,480,4.92
PR-2026-000015,2026-01-02,Plant-01,Line-A,MC-101,Night,PRD-A100,5489,5283,206,2,480,4.84
PR-2026-000016,2026-01-02,Plant-01,Line-A,MC-102,Day,PRD-B200,4061,4002,59,9,480,6.19
PR-2026-000017,2026-01-02,Plant-01,Line-A,MC-102,Evening,PRD-B200,4398,4293,105,1,480,6.13
PR-2026-000018,2026-01-02,Plant-01,Line-A,MC-102,Night,PRD-B200,3926,3895,31,53,480,6.05
PR-2026-000019,2026-01-02,Plant-01,Line-B,MC-201,Day,PRD-C300,6820,6746,74,45,480,3.56
PR-2026-000020,2026-01-02,Plant-01,Line-B,MC-201,Evening,PRD-C300,6624,6548,76,39,480,3.37
PR-2026-000021,2026-01-02,Plant-01,Line-B,MC-201,Night,PRD-C300,6949,6842,107,24,480,3.45
PR-2026-000022,2026-01-02,Plant-01,Line-B,MC-202,Day,PRD-D400,3122,3038,84,3,480,8.03
PR-2026-000023,2026-01-02,Plant-01,Line-B,MC-202,Evening,PRD-D400,2965,2908,57,46,480,8.42
PR-2026-000024,2026-01-02,Plant-01,Line-B,MC-202,Night,PRD-D400,3021,2966,55,43,480,7.74
PR-2026-000025,2026-01-03,Plant-01,Line-A,MC-101,Day,PRD-A100,5205,5081,124,18,480,4.99
